

gen best mean std
0 39.070411 -3.940616 7.317403
0 39.070411 -3.867916 7.364238
1 39.070411 -3.805557 7.465201
2 39.070411 -4.000911 6.991752
3 39.122264 -3.851121 7.394275
4 39.122264 -3.787101 7.444522
5 39.122264 -3.701636 7.576113
6 39.122264 -3.63714 7.769532
7 39.122264 -3.67856 7.756034
8 39.122264 -3.507908 8.112379
9 39.122264 -3.572917 8.022454
10 39.122264 -3.465853 8.124306
11 39.122264 -3.271614 8.389521
12 39.122264 -3.273149 8.32288
13 39.122264 -3.25094 8.327938
14 39.122264 -3.12228 8.582403
15 39.122264 -3.144721 8.578325
16 39.122264 -3.185851 8.367356
17 39.122264 -3.102935 8.455106
18 48.023649 -3.020949 8.782521
19 48.023649 -3.149001 8.534065
20 48.023649 -3.149746 8.534203
21 48.023649 -3.213487 8.451079
22 48.023649 -3.237587 8.423807
23 48.023649 -3.233386 8.422681
24 48.023649 -3.168586 8.660127
25 48.023649 -3.164824 8.579541
26 48.023649 -3.184318 8.573379
27 48.023649 -3.23119 8.513884
28 48.023649 -3.233858 8.514057
29 48.023649 -3.124925 8.627714
30 48.023649 -3.147747 8.625493
31 48.023649 -3.12534 8.629844
32 48.023649 -3.123261 8.62915
33 48.023649 -3.169127 8.553351
34 39.179917 -3.27145 8.255269
35 39.179917 -3.292548 8.226556
36 47.881903 -3.122097 8.603825
37 47.881903 -3.186926 8.504658
38 47.881903 -3.229079 8.493406
39 47.881903 -3.041207 8.777437
40 47.881903 -3.082307 8.768207
41 47.881903 -3.232232 8.399789
42 47.881903 -3.255375 8.395176
43 47.881903 -3.193033 8.544449
44 47.881903 -3.214456 8.539783
45 47.881903 -3.217254 8.729557
46 47.881903 -3.388664 8.486833
47 47.881903 -3.242591 8.845623
48 47.881903 -3.199969 8.920535
49 47.881903 -3.219417 8.915239
50 47.881903 -3.180818 9.064938
51 66.256997 -3.053243 9.607134
52 66.256997 -3.114305 9.597066
53 66.256997 -2.988185 10.013941
54 66.256997 -2.985605 10.032916
55 66.256997 -2.939132 10.1353
56 66.256997 -2.940573 10.135718
57 66.256997 -2.960684 10.131831
58 66.256997 -2.983085 9.974701
59 66.256997 -3.004793 9.972499
60 66.256997 -2.901986 10.182937
61 66.256997 -3.028136 9.882034
62 66.256997 -3.091684 9.850651
63 66.256997 -3.02708 9.968328
64 66.256997 -2.982926 10.185908
65 66.256997 -2.959123 10.18884
66 66.256997 -2.810463 10.288496
67 66.256997 -2.85291 10.225297
68 66.256997 -2.789153 10.253985
69 66.256997 -2.982386 9.763565
70 66.256997 -2.913823 9.870316
71 66.256997 -3.129256 9.416744
72 66.256997 -3.062014 9.610274
73 66.256997 -3.062075 9.610891
74 66.256997 -2.954453 9.690084
75 66.256997 -2.993711 9.664119
76 66.256997 -2.908013 9.738716
77 66.256997 -2.995787 9.380529
78 66.256997 -3.210526 8.829423
79 66.256997 -3.338846 8.578941
80 66.256997 -3.253703 8.818147
81 66.256997 -3.126108 9.135017
82 66.256997 -3.102611 9.384787
83 66.256997 -3.017556 9.462929
84 66.256997 -3.144923 9.21913
85 66.256997 -3.020888 9.449701
86 56.25124 -3.11083 9.211317
87 56.25124 -3.04717 9.224121
88 56.25124 -3.027949 9.22885
89 56.25124 -2.947152 9.409044
90 56.25124 -2.971425 9.343983
91 56.25124 -3.035937 9.2717
92 56.25124 -2.972808 9.3436
93 56.25124 -2.990657 9.340332
94 56.25124 -2.797648 9.732986
95 56.25124 -2.647768 10.007057
96 56.25124 -2.758689 9.800646
97 56.25124 -2.62662 9.899559
98 56.25124 -2.557192 9.965038
99 56.25124 -2.451449 10.036274
