

gen best mean std
0 92.64704 9.828852 28.521874

gen best mean std
0 92.290612 11.523288 30.723077
0 92.290612 11.633421 30.603254
1 92.290612 12.412714 31.255656
2 92.290612 12.862109 31.466539
3 92.290612 13.380165 31.900005
4 92.290612 13.022868 31.597044
5 92.290612 13.298839 31.834968
6 92.290612 13.233414 31.67811
7 92.290612 13.852774 32.082575
8 92.290612 14.36691 32.358561
9 92.290612 14.0904 31.948727
10 92.290612 13.944954 32.059147
11 92.290612 14.044163 31.87339
12 92.290612 13.98878 31.667309
13 92.290612 13.905709 31.774129
14 92.290612 14.535217 32.388951
15 92.189365 14.38378 32.327593
16 92.189365 14.340156 32.341777
17 92.189365 14.817062 32.613722
18 92.189365 14.339932 32.204976
19 92.189365 14.691727 32.616137
20 92.690612 14.573113 32.528383
21 92.189365 14.465932 32.34874
22 92.189365 14.628443 32.329891
23 92.189365 14.64111 32.35268
24 92.189365 14.687222 32.26424
25 92.189365 14.43676 32.199733
26 92.189365 13.956487 31.720986
27 92.189365 13.702803 31.371516
28 92.189365 13.449762 31.152852
29 92.189365 13.638198 31.409165
30 92.64704 13.540389 31.354566
31 92.64704 14.171154 31.946204
32 92.64704 13.910765 31.925391
33 92.64704 13.789751 31.999376
34 92.64704 13.468714 31.990114
35 92.64704 12.972136 31.396641
36 92.64704 13.072559 31.640658
37 92.64704 12.614757 31.449066
38 92.64704 12.275396 31.086017
39 92.64704 12.165918 31.066597
40 92.64704 12.639047 31.54504
41 92.64704 12.165047 31.291263
42 92.64704 12.314324 31.428895
43 92.64704 13.095576 31.826664
44 92.64704 13.095961 32.015285
45 92.64704 13.219052 32.267708
46 92.64704 13.20857 32.130063
47 92.64704 13.459219 32.164407
48 92.64704 12.837443 31.441331
49 92.64704 13.029845 31.384361
50 92.64704 13.034097 31.447247
51 92.64704 13.053082 31.555469
52 92.64704 12.668632 31.193087
53 92.189365 12.531258 31.120373
54 92.189365 11.92863 30.674451
55 92.189365 12.415774 31.093735
56 92.189365 12.596597 31.256149
57 92.189365 12.640845 30.890081
58 92.189365 12.96296 31.361075
59 92.189365 12.424942 30.985288
60 92.189365 11.98358 30.574657
61 92.189365 12.358135 30.869842
62 92.189365 12.461926 31.06747
63 92.189365 11.718953 30.370407
64 92.189365 11.457555 30.050899
65 92.189365 11.562344 30.240364
66 92.189365 11.245431 30.056848
67 92.189365 11.098561 29.989857
68 93.13194 10.793078 29.787131
69 93.13194 10.402308 29.516839
70 93.13194 10.739222 29.81702
71 93.13194 11.208586 30.260475
72 93.13194 11.076172 30.277124
73 93.13194 10.801585 30.017297
74 93.13194 10.956644 30.366187
75 93.13194 11.366073 30.619561
76 93.13194 11.36949 30.749772
77 93.13194 11.839234 31.156928
78 93.13194 11.84913 31.167594
79 93.13194 12.202164 31.443699
80 93.13194 11.607411 31.068908
81 93.13194 11.15497 30.839076
82 93.13194 11.284752 31.031549
83 93.13194 11.395135 31.123205
84 93.13194 11.323426 31.145599
85 93.13194 11.276162 31.057668
86 93.13194 11.775358 31.214731
87 93.13194 12.578821 31.907839
88 93.13194 12.320922 31.859873
89 93.13194 12.228234 31.697556
90 93.13194 11.792948 31.45941
91 93.13194 11.211386 30.774619
92 93.13194 11.266758 30.742763
93 93.13194 10.761477 30.331845
94 93.13194 10.984267 30.359215
95 93.13194 11.165877 30.459579
96 93.13194 10.830664 30.011651
97 93.13194 11.019981 30.218869
98 93.13194 10.986152 30.410823
99 93.13194 10.761155 30.279524
