

gen best mean std
0 48.136369 -2.937126 9.81213
0 39.179917 -2.975621 9.523398
1 39.179917 -2.99757 9.513496
2 39.179917 -2.976964 9.516866
3 39.179917 -3.039804 9.307008
4 39.179917 -3.021418 9.311906
5 39.179917 -3.020384 9.31163
6 39.179917 -3.110752 9.232045
7 39.179917 -3.240289 8.995483
8 39.179917 -3.196663 9.155047
9 39.179917 -3.244332 9.082819
10 39.179917 -3.260545 8.929692
11 39.179917 -3.260649 8.929661
12 39.179917 -3.238041 8.87088
13 39.179917 -3.23806 8.87089
14 39.179917 -3.36817 8.623575
15 39.179917 -3.367298 8.623955
16 39.179917 -3.259452 8.868665
17 39.179917 -3.239613 8.873902
18 39.179917 -3.324537 8.637284
19 39.179917 -3.300459 8.793604
20 39.179917 -3.384904 8.705518
21 39.179917 -3.211149 9.026523
22 39.179917 -3.227181 9.021101
23 39.179917 -3.420781 8.693836
24 39.179917 -3.591551 8.357031
25 47.971721 -3.400963 8.808576
26 47.971721 -3.506415 8.56178
27 47.971721 -3.508277 8.560851
28 48.237949 -3.402272 8.919071
29 57.018586 -3.27563 9.387574
30 57.018586 -3.404668 9.132232
31 57.018586 -3.382623 9.136709
32 57.018586 -3.550502 8.868734
33 57.018586 -3.659023 8.622678
34 57.018586 -3.572672 8.864431
35 57.018586 -3.486527 9.098926
36 57.018586 -3.382467 9.35349
37 57.018586 -3.236065 9.625713
38 57.018586 -3.195473 9.689412
39 57.018586 -3.175359 9.711191
40 57.018586 -3.069734 9.790715
41 57.018586 -3.02839 9.81865
42 57.018586 -3.096451 9.748447
43 57.018586 -3.180303 9.674205
44 57.018586 -3.266618 9.537103
45 57.018586 -3.246127 9.541939
46 57.018586 -3.246025 9.541909
47 57.018586 -3.28811 9.348214
48 57.018586 -3.369624 9.145378
49 57.018586 -3.370119 9.187927
50 57.018586 -3.285379 9.49733
51 57.018586 -3.115208 9.828572
52 57.018586 -3.223775 9.610081
53 57.018586 -3.227198 9.747022
54 57.018586 -2.972955 10.15894
55 57.018586 -2.759107 10.561261
56 57.018586 -2.565764 10.818889
57 57.018586 -2.674396 10.537833
58 57.018586 -2.651946 10.540412
59 57.018586 -2.562427 10.59117
60 57.018586 -2.561087 10.575317
61 48.237949 -2.71253 10.168493
62 48.237949 -2.819423 10.024961
63 48.023649 -3.030316 9.417195
64 48.013548 -3.136553 9.149363
65 48.013548 -3.220941 8.920284
66 48.013548 -3.201624 8.927276
67 48.013548 -3.199097 8.928255
68 48.171054 -3.240891 8.769882
69 48.171054 -3.25955 8.703825
70 48.171054 -3.280968 8.698707
71 48.171054 -3.344044 8.774665
72 48.171054 -3.341912 8.774364
73 48.171054 -3.275352 8.917295
74 48.171054 -3.252565 8.920268
75 48.171054 -3.18929 8.999401
76 48.171054 -3.213994 8.973974
77 48.171054 -3.105579 9.205396
78 48.171054 -3.020612 9.40403
79 48.171054 -2.935026 9.481092
80 48.171054 -2.938153 9.455912
81 48.171054 -2.93637 9.4529
82 48.171054 -2.85182 9.528172
83 48.171054 -2.742052 9.845627
84 75.139214 -2.52786 10.553315
85 75.139214 -2.442769 10.580426
86 75.139214 -2.398359 10.563783
87 75.139214 -2.523432 10.237398
88 75.139214 -2.41595 10.327157
89 75.139214 -2.525474 10.204757
90 75.139214 -2.503684 10.207247
91 75.139214 -2.677068 9.973923
92 75.139214 -2.633627 10.037806
93 75.139214 -2.653648 10.034419
94 75.139214 -2.701939 10.005445
95 75.139214 -2.574518 10.195478
96 75.139214 -2.596775 10.136271
97 75.139214 -2.558447 10.267827
98 75.139214 -2.534356 10.305433
99 75.139214 -2.553917 10.097842
