

gen best mean std
0 48.185869 -2.80812 9.601872
0 48.185869 -2.881444 9.463161
1 48.185869 -2.812747 9.472458
2 48.185869 -2.879329 9.279167
3 48.185869 -2.879055 9.279127
4 48.185869 -2.879923 9.278208
5 48.185869 -2.753458 9.50481
6 48.185869 -2.92666 9.210806
7 48.185869 -2.924818 9.090953
8 48.185869 -2.925267 9.156318
9 48.185869 -3.071708 8.787206
10 48.185869 -2.985388 8.869877
11 48.185869 -2.942509 9.133719
12 48.185869 -2.899277 9.141131
13 48.185869 -3.007767 8.91055
14 48.185869 -2.92217 8.991657
15 48.185869 -2.753606 9.293803
16 48.185869 -2.668278 9.369436
17 57.013548 -2.53968 9.806349
18 57.013548 -2.348862 10.081608
19 57.013548 -2.498432 9.872644
20 48.185869 -2.817014 8.994615
21 48.185869 -2.881849 8.922262
22 48.185869 -2.880122 8.921029
23 48.185869 -2.81882 8.998263
24 48.185869 -2.710115 9.101337
25 48.185869 -2.664601 9.252825
26 48.185869 -2.662815 9.252949
27 57.2699 -2.576442 9.687353
28 57.2699 -2.446262 9.891874
29 57.2699 -2.529207 9.685253
30 57.2699 -2.575041 9.757028
31 57.2699 -2.576514 9.757441
32 57.2699 -2.704599 9.678515
33 57.2699 -2.83327 9.355986
34 57.2699 -2.79058 9.424983
35 57.2699 -2.876083 9.322997
36 57.2699 -2.986966 9.097438
37 57.2699 -2.898507 9.175606
38 57.2699 -2.92389 9.173049
39 48.185869 -3.116831 8.553076
40 48.185869 -3.417524 7.942399
41 48.185869 -3.355444 8.03213
42 48.185869 -3.418047 7.942607
43 48.185869 -3.333478 8.036768
44 48.185869 -3.311484 8.04201
45 48.185869 -3.373698 7.952641
46 48.185869 -3.264901 8.353417
47 48.185869 -3.306476 8.18247
48 48.185869 -3.287868 8.457365
49 48.185869 -3.118353 8.850475
50 48.185869 -3.050262 8.851752
51 48.185869 -3.136816 8.76831
52 48.185869 -3.112696 8.792974
53 48.185869 -3.261312 8.558845
54 48.185869 -3.194794 8.640335
55 48.185869 -3.190739 8.639788
56 48.185869 -3.150294 8.648155
57 48.185869 -3.129669 8.739867
58 48.185869 -3.171814 8.709108
59 48.185869 -2.964167 9.202048
60 48.185869 -2.965174 9.202361
61 48.185869 -2.965825 9.222578
62 48.185869 -2.94468 9.288159
63 48.185869 -3.033981 9.14742
64 48.185869 -3.098969 8.988889
65 48.185869 -3.094949 9.07227
66 48.185869 -3.073092 9.076511
67 48.185869 -3.073115 9.124344
68 48.185869 -3.095013 9.118897
69 48.185869 -3.010413 9.225079
70 48.185869 -3.139853 8.888886
71 66.041575 -3.054453 9.429158
72 66.041575 -3.204849 9.083944
73 66.041575 -3.160232 9.113652
74 66.041575 -3.118522 9.143941
75 66.041575 -2.817793 9.733663
76 66.041575 -2.88228 9.663456
77 66.041575 -2.795597 9.736203
78 66.041575 -2.835537 9.714974
79 66.041575 -2.704375 9.926913
80 66.041575 -2.703862 9.926726
81 66.041575 -2.618754 10.145734
82 66.041575 -2.686284 10.081531
83 66.041575 -2.794099 9.777279
84 66.041575 -2.729274 10.018894
85 66.041575 -2.940949 9.589204
86 66.041575 -2.789518 9.907251
87 66.041575 -2.881232 9.738129
88 66.041575 -2.881452 9.738175
89 66.041575 -2.879567 9.734032
90 66.041575 -2.880044 9.638273
91 66.041575 -2.922377 9.61082
92 66.041575 -2.813473 9.687763
93 66.041575 -3.008096 9.392571
94 66.041575 -3.110533 9.164515
95 66.041575 -3.066087 9.274999
96 66.041575 -2.894492 9.569867
97 66.041575 -3.039705 9.124502
98 66.041575 -3.055429 9.118432
99 48.185869 -3.246445 8.466726
