

gen best mean std
0 92.250924 10.433791 30.883057
0 92.250924 10.752223 31.27977
1 92.250924 10.463495 30.900486
2 92.250924 9.507985 30.004155
3 92.250924 9.207505 29.822274
4 92.250924 9.858979 30.602614
5 92.250924 9.678665 30.5252
6 92.250924 10.02326 30.703602
7 92.250924 10.718644 31.12617
8 92.250924 9.841622 30.475372
9 92.250924 10.715519 31.009478
10 92.250924 10.108918 30.557082
11 92.250924 10.334204 30.779187
12 92.250924 10.129908 30.428962
13 92.250924 9.724489 30.151005
14 92.250924 9.545583 29.741639
15 92.250924 9.677454 30.072134
16 92.250924 9.672901 29.881324
17 92.250924 9.135449 29.167266
18 92.250924 10.009586 30.135239
19 92.250924 9.817334 29.959308
20 92.250924 9.686717 29.979077
21 92.250924 10.39346 30.83451
22 92.250924 9.97828 30.492601
23 92.250924 10.107144 30.546173
24 92.250924 9.748046 30.236691
25 92.250924 10.148591 30.692484
26 92.250924 10.431001 30.720586
27 92.250924 10.273821 30.415261
28 92.250924 10.566726 30.441605
29 92.250924 10.517764 30.266981
30 92.250924 10.869027 30.562919
31 92.658358 10.566327 30.492859
32 92.658358 10.486308 30.517365
33 92.658358 10.636932 30.588039
34 92.658358 10.689014 30.675008
35 92.658358 10.592094 30.674812
36 92.658358 10.287041 30.342201
37 92.658358 10.159912 30.295057
38 92.658358 10.084605 30.432339
39 93.512404 10.026347 30.289414
40 93.512404 9.33205 29.561451
41 93.512404 9.774072 30.086741
42 93.512404 9.477259 29.796778
43 92.658358 9.580103 29.755022
44 92.658358 9.74412 29.854623
45 92.658358 10.583343 30.400896
46 92.658358 10.307241 30.033719
47 92.658358 10.458363 30.162535
48 92.658358 10.548921 30.219711
49 92.658358 10.776135 30.678175
50 92.658358 10.690291 30.504205
51 92.658358 10.666304 30.701115
52 92.658358 10.084639 29.893489
53 92.658358 10.436955 30.166705
54 92.658358 10.192724 29.949107
55 92.658358 10.203571 30.116254
56 92.250924 10.075424 30.020471
57 92.250924 10.605145 30.45966
58 92.250924 10.585898 30.53733
59 92.250924 10.194864 30.467323
60 92.250924 9.919765 30.211872
61 92.250924 9.828962 30.230303
62 92.250924 9.61347 29.932464
63 92.250924 9.683801 29.953133
64 92.250924 9.876448 30.075595
65 92.250924 9.776152 30.036678
66 92.250924 10.097266 30.175195
67 92.250924 10.787632 30.573695
68 92.250924 10.498978 30.315811
69 92.250924 10.308162 30.056042
70 92.250924 10.09628 29.974191
71 92.250924 9.443287 29.419708
72 92.250924 9.276548 29.369434
73 92.250924 9.318783 29.357524
74 92.250924 9.033732 29.091845
75 92.250924 9.422452 29.305991
76 92.250924 9.999324 29.623198
77 92.250924 9.073445 28.91769
78 92.250924 8.991613 28.668607
79 92.250924 8.884916 28.502158
80 92.250924 8.995309 28.719204
81 92.250924 9.080939 28.872109
82 92.250924 8.61832 28.356554
83 92.33194 9.251229 28.937619
84 92.33194 9.449964 29.077196
85 92.33194 8.967779 28.532029
86 92.33194 9.031181 28.544034
87 92.33194 9.293605 28.740091
88 92.250924 9.269972 28.734022
89 92.250924 8.713977 28.36035
90 92.250924 8.832384 28.388008
91 92.250924 8.2552 27.907294
92 92.250924 8.278885 27.817405
93 92.250924 8.594881 28.115458
94 92.250924 8.573639 28.123616
95 92.250924 8.318276 27.833401
96 92.250924 8.423541 27.818495
97 92.250924 7.930128 27.551793
98 92.250924 7.650416 27.431949
99 92.250924 7.518691 27.295126
