

gen best mean std
0 92.04704 10.123248 30.378786
0 92.04704 9.793868 30.042138
1 92.04704 10.388077 30.897553
2 92.04704 10.193966 30.858134
3 92.04704 10.237081 30.9
4 92.04704 10.164905 31.068235
5 92.04704 10.608242 31.456187
6 92.04704 10.505136 31.395113
7 92.04704 10.945613 31.747715
8 92.04704 12.009257 32.844291
9 92.04704 12.081424 32.937109
10 92.04704 11.819504 32.791507
11 92.04704 11.899919 32.848597
12 92.04704 11.598169 32.593798
13 92.04704 12.139572 32.940594
14 92.04704 11.886111 32.747329
15 92.04704 12.097996 32.779445
16 92.04704 11.679457 32.441843
17 92.04704 12.065331 32.707935
18 92.04704 11.978679 32.549855
19 92.04704 11.084514 31.707034
20 92.04704 10.828244 31.470809
21 92.04704 11.326472 31.869417
22 92.290612 11.683518 32.09644
23 92.290612 11.342625 31.858007
24 92.290612 11.210032 31.871329
25 92.290612 10.915948 31.648865
26 92.290612 10.814384 31.374927
27 92.290612 10.754564 31.379005
28 92.290612 10.637726 31.158275
29 92.596054 11.042161 31.748566
30 92.596054 11.225016 31.782798
31 92.596054 11.282579 31.81774
32 92.596054 10.618643 31.281131
33 92.596054 10.603113 31.157853
34 92.596054 10.412775 30.961968
35 92.596054 10.319043 30.84918
36 92.596054 9.601016 30.151043
37 92.596054 9.810273 30.484251
38 92.596054 9.89449 30.541453
39 92.596054 9.638755 30.449593
40 92.596054 9.920993 30.976907
41 92.596054 10.331216 31.280942
42 93.072124 9.894518 30.896279
43 93.072124 9.483087 30.413967
44 93.072124 9.420998 30.098058
45 93.072124 9.191155 29.98151
46 93.072124 9.617545 30.483103
47 93.072124 9.140012 29.99736
48 93.072124 9.014993 29.789269
49 93.072124 9.603813 30.267215
50 93.072124 9.947602 30.512255
51 93.072124 10.200021 30.590173
52 93.072124 9.552171 30.073998
53 93.072124 9.411139 29.99182
54 93.072124 9.616642 29.850008
55 93.072124 9.890089 29.835634
56 93.072124 9.479675 29.63234
57 92.57505 9.02583 29.319462
58 92.57505 9.070145 29.316336
59 92.57505 9.178356 29.274198
60 92.57505 9.321027 29.594291
61 92.57505 9.547561 29.755687
62 92.57505 10.047489 30.037367
63 92.57505 10.092862 30.196475
64 92.57505 10.257532 30.384707
65 92.57505 10.554049 30.852491
66 92.250924 10.410262 30.616611
67 92.250924 10.517945 30.58196
68 92.250924 10.558094 30.547522
69 92.250924 10.424976 30.395348
70 92.250924 10.468857 30.474752
71 92.250924 10.729715 30.774033
72 92.250924 9.963456 30.126856
73 92.250924 10.521602 30.64914
74 92.250924 10.337897 30.521901
75 92.250924 9.680036 29.804603
76 92.250924 9.235977 29.443368
77 92.250924 9.172436 29.564369
78 92.250924 9.20619 29.385
79 92.250924 8.949019 29.153353
80 92.250924 9.165203 29.206637
81 92.250924 8.971734 29.191536
82 92.250924 8.960127 29.18622
83 92.250924 8.810514 29.118804
84 92.250924 8.60445 29.149311
85 92.250924 8.406776 29.295834
86 92.250924 8.862686 29.80464
87 92.250924 9.414158 30.236525
88 92.250924 9.798422 30.492059
89 92.250924 9.539512 30.335677
90 92.250924 9.42719 30.096974
91 91.490612 8.933486 29.528004
92 91.490612 8.664334 29.572476
93 91.490612 8.478834 29.277918
94 91.490612 8.584918 29.322668
95 91.490612 8.136271 28.92667
96 93.072124 8.609788 29.311359
97 93.072124 8.999402 29.36095
98 93.072124 9.131904 29.54058
99 93.072124 9.443531 29.737395
