

gen best mean std
0 48.059829 -2.499183 10.665989
0 48.059829 -2.597741 10.470063
1 48.059829 -2.552476 10.474584
2 48.059829 -2.574109 10.400606
3 48.059829 -2.556728 10.477799
4 48.059829 -2.490441 10.501608
5 48.059829 -2.618971 10.304342
6 48.059829 -2.640503 10.301596
7 48.059829 -2.553531 10.36833
8 48.059829 -2.599361 10.30664
9 57.241098 -2.341411 10.757303
10 57.241098 -2.274727 10.784458
11 57.241098 -2.358665 10.59824
12 57.241098 -2.382898 10.596714
13 57.241098 -2.318246 10.655609
14 57.241098 -2.554543 10.170893
15 57.241098 -2.447901 10.240346
16 57.241098 -2.660865 9.829593
17 57.241098 -2.656439 9.678529
18 57.241098 -2.744394 9.527009
19 57.241098 -2.916227 9.170557
20 57.241098 -2.895713 9.174696
21 57.241098 -2.916886 9.089112
22 57.241098 -2.874991 9.28935
23 57.241098 -2.938479 9.214931
24 57.241098 -3.108913 8.907253
25 57.241098 -3.13368 8.903788
26 57.241098 -3.15501 8.899251
27 57.241098 -3.242584 8.815627
28 57.241098 -3.241584 8.815289
29 57.241098 -3.136793 9.014521
30 57.241098 -3.161941 9.00816
31 57.241098 -3.053143 9.157346
32 57.241098 -2.863153 9.598714
33 57.241098 -2.754544 9.909352
34 57.241098 -2.83911 9.821346
35 57.241098 -2.878287 9.67563
36 57.241098 -2.894926 9.651879
37 57.241098 -2.916662 9.648602
38 57.241098 -2.876507 9.850891
39 57.241098 -2.663187 10.261983
40 57.241098 -2.683212 10.258814
41 57.241098 -2.704484 10.199038
42 48.191858 -2.859617 9.771263
43 48.191858 -2.904738 9.740906
44 48.191858 -2.820081 9.851349
45 48.191858 -2.818614 9.850978
46 48.191858 -3.029683 9.576359
47 48.191858 -3.052881 9.574242
48 48.191858 -3.052711 9.712449
49 48.191858 -3.307848 9.187903
50 48.191858 -3.267918 9.15675
51 48.191858 -3.22484 9.303183
52 48.191858 -3.222054 9.302272
53 48.191858 -3.047663 9.599759
54 48.191858 -3.130684 9.460896
55 48.191858 -2.874815 9.901879
56 48.191858 -3.175423 9.392139
57 48.191858 -3.114014 9.467336
58 48.191858 -3.048928 9.539986
59 48.013548 -3.114856 9.282921
60 48.013548 -3.136018 9.278508
61 48.013548 -3.07467 9.352977
62 48.013548 -3.071056 9.353204
63 48.013548 -3.215969 8.925247
64 48.013548 -3.197383 8.930668
65 48.013548 -3.369781 8.607409
66 48.013548 -3.370453 8.607627
67 48.013548 -3.476122 8.492488
68 48.013548 -3.388544 8.734685
69 48.013548 -3.199293 8.976806
70 48.013548 -3.158194 9.007794
71 48.013548 -3.223826 8.929715
72 48.013548 -3.26848 8.771093
73 48.013548 -3.211718 8.807813
74 48.013548 -3.277154 8.727514
75 48.013548 -3.46475 8.317751
76 48.013548 -3.443199 8.322045
77 48.013548 -3.310323 8.580917
78 48.013548 -3.226882 8.823868
79 48.013548 -3.184798 8.898963
80 75.2699 -3.207039 9.239004
81 75.2699 -3.291768 9.017156
82 75.2699 -3.250432 9.172832
83 75.2699 -3.124798 9.404873
84 75.2699 -3.086102 9.473234
85 75.2699 -3.110348 9.327637
86 75.2699 -3.023878 9.503408
87 75.2699 -2.981288 9.511288
88 75.2699 -3.066122 9.43466
89 75.2699 -3.064697 9.435201
90 75.2699 -3.066118 9.435493
91 75.2699 -3.069046 9.414956
92 75.2699 -2.919616 9.852449
93 75.2699 -2.897303 9.85451
94 75.2699 -2.852516 9.918604
95 75.2699 -2.829771 9.939822
96 75.2699 -2.962449 9.801225
97 75.2699 -2.872935 9.932196
98 75.2699 -2.913871 9.905129
99 75.2699 -2.995935 9.830494
