

gen best mean std
0 48.013548 -2.306098 10.367398
0 48.013548 -2.345578 10.305581
1 48.013548 -2.4733 10.10247
2 48.013548 -2.261132 10.497012
3 39.179917 -2.520476 10.079394
4 39.122264 -2.565206 10.014978
5 39.122264 -2.568191 10.015912
6 39.122264 -2.695378 9.805656
7 39.122264 -2.779764 9.733456
8 48.013548 -2.780679 9.907066
9 48.013548 -2.970348 9.736772
10 48.013548 -3.079108 9.518056
11 48.013548 -2.931692 9.797292
12 48.013548 -2.589873 10.285676
13 48.013548 -2.802504 9.882765
14 48.023649 -2.73848 10.12097
15 48.023649 -2.630212 10.322589
16 48.023649 -2.438495 10.780028
17 48.023649 -2.460774 10.84742
18 48.023649 -2.4393 10.867518
19 48.023649 -2.484851 10.810006
20 48.023649 -2.377725 10.876016
21 48.023649 -2.441507 10.815659
22 48.023649 -2.418551 10.854048
23 48.023649 -2.441747 10.852372
24 48.023649 -2.634674 10.597751
25 48.023649 -2.656769 10.559677
26 48.023649 -2.658709 10.560273
27 48.023649 -2.682398 10.558145
28 48.023649 -2.616364 10.620954
29 48.023649 -2.679581 10.453581
30 48.023649 -2.807153 10.249889
31 48.023649 -2.868517 10.05033
32 48.023649 -2.867134 10.050041
33 48.023649 -2.826728 10.190188
34 48.023649 -2.829213 10.190827
35 48.023649 -2.830514 10.191259
36 48.023649 -2.830603 10.191286
37 48.023649 -2.659082 10.346461
38 66.176954 -2.44311 10.879688
39 66.176954 -2.588801 10.600198
40 66.176954 -2.58782 10.599764
41 66.176954 -2.525015 10.626396
42 66.176954 -2.547223 10.62409
43 66.176954 -2.567637 10.531885
44 66.176954 -2.507025 10.664415
45 66.176954 -2.680067 10.405832
46 66.176954 -2.696329 10.221529
47 66.176954 -2.720561 10.217083
48 66.176954 -2.721732 10.217476
49 66.176954 -2.548813 10.480477
50 66.176954 -2.700966 10.2585
51 66.176954 -2.702769 10.186314
52 66.176954 -2.848897 9.8383
53 66.176954 -2.786566 9.90801
54 66.176954 -2.848919 9.838561
55 66.176954 -2.761522 10.139311
56 66.176954 -2.891973 9.870716
57 66.176954 -2.702778 10.187982
58 66.176954 -2.699455 10.187153
59 66.176954 -2.763118 10.120472
60 66.176954 -2.719884 10.165166
61 66.176954 -2.742751 10.139193
62 66.176954 -2.738878 10.138104
63 66.176954 -2.59118 10.40132
64 66.176954 -2.69894 10.202256
65 48.013548 -2.764249 9.709779
66 48.013548 -2.890981 9.489843
67 48.013548 -2.997007 9.267224
68 48.013548 -3.104754 9.037722
69 48.013548 -3.043251 9.132728
70 48.013548 -3.001702 9.141292
71 48.013548 -3.088647 8.913733
72 48.013548 -3.279928 8.67312
73 48.013548 -3.345434 8.613038
74 48.013548 -3.329339 8.567019
75 48.013548 -3.327155 8.566338
76 48.013548 -3.367283 8.398885
77 66.601837 -3.216968 9.059485
78 66.601837 -3.36369 8.811096
79 66.601837 -3.383564 8.807236
80 66.601837 -3.381739 8.806722
81 66.601837 -3.296124 8.956537
82 66.601837 -3.274271 8.961114
83 66.601837 -3.338105 8.881142
84 66.601837 -3.253753 8.965806
85 66.601837 -3.167319 9.193976
86 66.601837 -3.168223 9.215144
87 66.601837 -3.079457 9.148137
88 66.601837 -3.37686 8.585382
89 66.601837 -3.204752 8.823549
90 66.601837 -3.202256 8.823505
91 66.601837 -3.113133 9.035209
92 66.601837 -3.114325 9.035421
93 66.601837 -3.133734 9.030453
94 66.601837 -2.962739 9.396613
95 66.601837 -2.920464 9.544186
96 66.601837 -2.600172 10.246556
97 66.601837 -2.390592 10.634226
98 66.601837 -2.372855 10.638663
99 66.601837 -2.287224 10.701869
