

gen best mean std
0 86.193424 -0.118989 13.463781
0 86.193424 0.062291 13.732897
1 86.193424 0.230499 14.00262
2 85.783394 0.058452 13.318915
3 85.783394 -0.112309 13.372441
4 85.783394 0.280889 13.773422
5 85.783394 0.153741 13.662539
6 85.783394 -0.283362 13.248786
7 85.783394 -0.262311 13.243497
8 85.783394 -0.090568 13.420413
9 85.783394 -0.045072 13.5007
10 85.783394 -0.06355 13.453083
11 85.783394 -0.130164 13.244999
12 85.783394 -0.285336 13.019319
13 85.783394 -0.326848 12.984129
14 85.783394 -0.206505 12.869971
15 85.783394 -0.229413 12.808449
16 85.783394 0.053075 12.990252
17 85.783394 -0.181741 12.546894
18 85.783394 0.01351 12.629188
19 85.783394 0.213438 12.68549
20 85.783394 0.23228 12.705036
21 85.783394 0.313316 12.802056
22 85.783394 0.377857 12.880661
23 85.783394 0.265642 12.750824
24 85.783394 0.590106 13.107247
25 85.783394 0.658204 13.056593
26 85.783394 0.658646 13.15082
27 85.783394 0.79759 13.261895
28 85.783394 0.665585 13.181592
29 85.783394 0.944756 13.532488
30 85.783394 1.154977 13.721083
31 85.783394 1.285404 13.812782
32 85.783394 1.263763 13.817254
33 85.783394 1.483662 13.95999
34 85.783394 1.322958 13.678461
35 85.783394 1.0423 13.249444
36 85.783394 1.25238 13.589941
37 85.783394 1.542129 13.757332
38 85.783394 1.395822 13.694649
39 85.783394 1.372189 13.685425
40 85.783394 1.388696 13.722544
41 85.783394 1.349197 13.929471
42 85.783394 1.466954 14.16448
43 85.783394 1.470926 14.284147
44 85.783394 1.371344 14.258608
45 85.783394 1.290099 14.253372
46 85.783394 1.400713 14.503806
47 85.783394 1.181017 14.371528
48 85.783394 1.139697 14.314892
49 85.783394 1.127137 14.311965
50 85.783394 0.933343 14.202594
51 85.783394 0.765247 14.053371
52 85.783394 0.758088 14.055431
53 85.783394 0.772843 14.043845
54 85.783394 0.513078 13.631789
55 85.783394 0.626541 13.910297
56 85.783394 0.626911 13.877567
57 85.783394 0.555379 13.839279
58 87.166914 0.731981 14.440113
59 87.166914 0.518952 14.277744
60 87.166914 0.413474 14.261793
61 87.166914 0.35407 14.017065
62 87.166914 0.372717 14.069038
63 87.166914 0.26752 13.925771
64 87.166914 0.311561 14.039343
65 87.166914 0.476204 14.143524
66 87.166914 0.110127 13.218063
67 87.166914 0.179772 13.31412
68 87.166914 0.165227 13.047625
69 87.166914 0.55632 13.668487
70 87.166914 0.518867 13.47577
71 87.166914 0.578598 13.519732
72 87.166914 0.579372 13.531975
73 87.166914 0.752535 13.613052
74 87.166914 0.691109 13.574592
75 87.166914 0.925041 14.057
76 87.166914 1.145931 14.262436
77 87.166914 1.317218 14.98108
78 87.166914 1.233373 14.909735
79 87.166914 1.316925 15.003579
80 87.166914 1.338956 14.970862
81 87.166914 1.140612 14.796265
82 87.166914 1.255501 14.868703
83 87.166914 1.065733 14.770963
84 87.166914 1.064646 14.733481
85 85.783394 1.094015 14.416574
86 85.783394 1.178571 14.458721
87 85.783394 0.98208 14.34943
88 85.783394 0.865389 14.297373
89 85.783394 0.822268 14.303108
90 85.783394 0.944863 14.709382
91 85.783394 1.053266 14.919962
92 85.783394 0.726095 14.696498
93 85.783394 0.676399 14.661619
94 85.783394 0.593521 14.626995
95 85.783394 0.414802 14.442805
96 85.783394 0.19402 14.14891
97 85.783394 0.064049 13.92924
98 85.783394 0.07886 13.938192
99 85.783394 0.284916 14.237211
