

gen best mean std
0 92.290612 7.817689 28.348758
0 92.290612 8.193231 28.581193
1 92.290612 8.256781 28.668121
2 92.290612 8.445948 28.7535
3 92.290612 9.001686 29.197221
4 92.290612 9.460623 29.515887
5 92.290612 9.527697 29.635841
6 92.290612 10.067136 30.239393
7 92.290612 10.148754 30.331157
8 92.290612 9.847237 30.097999
9 92.290612 8.673627 28.783064
10 92.290612 7.946255 28.161568
11 92.290612 8.449535 28.537892
12 92.290612 8.395983 28.246823
13 92.290612 8.503049 28.277105
14 92.290612 8.422853 28.338457
15 92.290612 8.552548 28.704101
16 92.290612 8.264508 28.33075
17 92.290612 8.742096 28.960581
18 92.290612 8.095149 28.374616
19 92.290612 7.80976 27.974118
20 92.596054 8.304015 28.558419
21 92.596054 8.559146 28.895442
22 92.596054 8.260345 28.575372
23 92.596054 8.660728 29.002502
24 92.596054 8.359975 28.891961
25 92.596054 8.572269 29.115621
26 92.596054 8.572224 29.115539
27 92.596054 8.367056 29.05948
28 92.596054 8.582902 29.373461
29 92.596054 8.276682 29.077028
30 92.596054 8.182123 29.177783
31 92.596054 7.943686 28.889698
32 92.596054 8.434579 29.280711
33 92.596054 8.649505 29.42318
34 92.596054 9.287719 29.9545
35 92.596054 9.057649 29.779018
36 92.596054 9.177464 29.770458
37 92.596054 9.154649 29.797775
38 92.596054 8.935952 29.523153
39 92.596054 9.297918 29.915831
40 92.596054 9.610445 30.132833
41 92.596054 9.585899 30.005438
42 92.596054 9.835021 30.246337
43 92.596054 10.251191 30.592609
44 91.888012 10.207831 30.482673
45 91.888012 10.33643 30.664281
46 91.888012 10.060243 30.509716
47 91.931096 10.151029 30.503176
48 91.931096 10.654171 30.747882
49 91.931096 10.3275 30.232997
50 91.976119 10.314871 30.154335
51 91.976119 9.638384 29.592566
52 91.976119 9.777063 29.759806
53 91.976119 9.692609 29.751186
54 91.976119 9.013225 28.991451
55 91.976119 9.315579 29.099378
56 91.976119 9.308464 28.939653
57 91.976119 8.797993 28.480232
58 91.976119 9.179323 28.808214
59 91.976119 9.364025 28.880837
60 91.976119 9.868013 29.43493
61 91.976119 9.993419 29.508084
62 91.976119 9.830696 29.609914
63 91.976119 9.850077 29.521274
64 91.976119 9.837915 29.615672
65 91.976119 9.55538 29.312241
66 91.976119 9.406228 29.102625
67 91.976119 8.801601 28.755709
68 91.976119 9.399431 29.188823
69 91.976119 9.276762 28.976447
70 91.976119 9.058812 28.570389
71 91.976119 9.434779 29.140919
72 91.976119 9.644439 29.221555
73 91.976119 9.166787 28.878624
74 91.976119 8.243734 27.970002
75 91.976119 8.667241 28.775463
76 91.976119 8.860926 28.890671
77 91.976119 8.638942 28.613373
78 91.976119 9.192052 29.105626
79 91.969562 9.198379 29.205971
80 91.969562 9.505056 29.56204
81 91.969562 10.087343 30.002427
82 91.969562 9.442841 29.348573
83 91.976119 9.824635 29.733116
84 91.976119 10.016232 30.010134
85 93.202788 10.094697 29.988883
86 93.202788 9.594693 29.390295
87 93.202788 9.200617 28.896458
88 93.202788 9.895263 29.709195
89 93.202788 9.565128 29.476449
90 93.202788 9.433509 29.35937
91 93.202788 9.496704 29.401066
92 93.202788 9.630854 29.59739
93 93.202788 9.459176 29.426199
94 93.202788 10.156669 29.923311
95 93.202788 10.524681 30.34868
96 93.202788 10.167573 30.125505
97 93.202788 10.708602 30.732376
98 93.202788 10.80812 30.698247
99 93.202788 10.659561 30.668915
