

gen best mean std
0 39.122264 -3.945483 7.766441
0 39.122264 -4.022896 7.483953
1 39.122264 -3.939388 7.764985
2 39.122264 -3.915583 7.771714
3 51.092245 -3.734541 8.26056
4 51.092245 -3.780701 8.086156
5 51.092245 -3.887657 7.811766
6 51.092245 -3.90762 7.72932
7 51.092245 -3.970017 7.631036
8 51.092245 -3.94755 7.638263
9 39.122264 -4.001349 7.343583
10 39.122264 -3.979934 7.351607
11 39.122264 -4.171852 6.927172
12 39.122264 -4.171498 6.927085
13 39.122264 -4.215181 6.824671
14 39.122264 -4.128421 7.133163
15 39.122264 -4.19131 6.833437
16 39.122264 -4.211778 6.824002
17 39.179917 -3.999414 7.292225
18 39.179917 -3.785617 7.724288
19 39.179917 -3.680325 8.002509
20 39.179917 -3.770026 7.73316
21 39.241098 -3.661957 8.011406
22 39.241098 -3.686345 8.00573
23 39.241098 -3.665662 8.012368
24 39.241098 -3.727441 7.967874
25 39.241098 -3.665855 8.129079
26 39.241098 -3.45322 8.554028
27 39.241098 -3.496019 8.316835
28 39.241098 -3.3236 8.605049
29 39.241098 -3.360514 8.595652
30 39.241098 -3.55443 8.088575
31 39.241098 -3.599887 8.048671
32 48.038995 -3.641992 8.080582
33 48.038995 -3.727869 7.911
34 48.038995 -3.752307 7.905001
35 48.038995 -3.753773 7.905446
36 48.038995 -3.778496 7.828936
37 48.038995 -3.800775 7.822385
38 48.038995 -3.778799 7.852088
39 48.038995 -3.846116 7.75764
40 48.038995 -4.018461 7.42255
41 48.038995 -3.847793 7.806299
42 48.038995 -3.740688 8.082439
43 48.038995 -3.802142 7.918105
44 48.038995 -3.802442 7.918178
45 48.038995 -3.825968 7.884951
46 56.45465 -3.656712 8.419658
47 56.45465 -3.676394 8.41349
48 56.45465 -3.675921 8.413305
49 56.45465 -3.635803 8.494754
50 56.45465 -3.509895 8.857853
51 56.45465 -3.637601 8.55741
52 56.45465 -3.702465 8.518332
53 56.45465 -3.701515 8.515997
54 56.45465 -3.741117 8.527804
55 56.45465 -3.677686 8.810247
56 56.45465 -3.698518 8.804121
57 48.057201 -3.634263 8.764942
58 48.057201 -3.589091 8.823307
59 48.057201 -3.372626 9.298381
60 48.057201 -3.503403 8.95408
61 48.057201 -3.543439 8.793722
62 48.057201 -3.459424 9.029454
63 48.057201 -3.437223 9.034386
64 48.057201 -3.41648 9.102746
65 48.2699 -3.286319 9.299857
66 48.2699 -3.200866 9.380049
67 66.179917 -3.225197 9.581116
68 66.179917 -3.075249 9.789257
69 66.179917 -3.418034 9.00721
70 66.179917 -3.566279 8.686009
71 66.179917 -3.502475 8.878373
72 66.179917 -3.377452 9.22814
73 66.179917 -3.268943 9.376176
74 66.179917 -3.22193 9.404351
75 66.179917 -3.052046 9.698579
76 66.179917 -3.029582 9.644079
77 66.179917 -2.923466 9.953629
78 66.179917 -2.795548 10.259697
79 48.2699 -2.83846 9.849488
80 48.2699 -2.792043 9.913801
81 94.900134 -2.509931 11.121698
82 94.900134 -2.402584 11.387499
83 94.900134 -2.424411 11.38549
84 94.900134 -2.35759 11.356191
85 94.900134 -2.486305 11.089257
86 94.900134 -2.594584 11.00728
87 94.900134 -2.638278 10.881265
88 94.900134 -2.660223 10.880334
89 94.900134 -2.576177 11.047476
90 94.900134 -2.595482 11.044299
91 94.900134 -2.807634 10.805179
92 48.2699 -3.007299 9.76155
93 48.2699 -2.858043 10.03878
94 48.2699 -2.815566 10.045039
95 48.2699 -2.7718 10.051224
96 48.2699 -2.72883 10.113753
97 48.2699 -2.727338 10.113291
98 48.2699 -2.816226 9.985907
99 48.2699 -3.091329 9.524572
