

gen best mean std
0 39.225448 -3.785628 7.598118
0 39.225448 -3.780734 7.596631
1 39.225448 -3.690939 7.773302
2 48.263428 -3.518913 8.18773
3 48.263428 -3.476825 8.199024
4 48.263428 -3.36816 8.410567
5 48.263428 -3.41259 8.194113
6 48.263428 -3.347918 8.28064
7 48.263428 -3.218763 8.584747
8 48.263428 -2.984065 9.044541
9 48.263428 -2.900834 9.309781
10 48.263428 -2.686877 9.745576
11 48.263428 -2.5993 9.816406
12 48.263428 -2.599073 9.872681
13 48.263428 -2.687122 9.663957
14 48.263428 -2.708249 9.660953
15 48.263428 -2.661657 9.666163
16 48.263428 -2.705352 9.520264
17 48.263428 -2.856822 9.231364
18 48.263428 -2.900762 9.224258
19 48.263428 -2.879158 9.228086
20 48.263428 -2.877809 9.227598
21 48.263428 -2.772959 9.4503
22 48.263428 -2.64412 9.69469
23 48.263428 -2.727506 9.444023
24 48.263428 -2.791477 9.414839
25 48.263428 -2.815342 9.47347
26 48.263428 -2.731372 9.548612
27 48.263428 -2.946542 9.104247
28 48.263428 -3.051836 8.976976
29 48.263428 -2.963095 9.05706
30 48.263428 -2.921579 9.210326
31 75.013548 -2.725397 9.82566
32 75.013548 -2.790085 9.796321
33 75.013548 -2.983521 9.405129
34 75.013548 -2.795244 9.798448
35 75.013548 -2.86255 9.54871
36 75.013548 -2.755446 9.646329
37 75.013548 -2.653236 9.956327
38 75.013548 -2.525786 10.164651
39 75.013548 -2.610719 10.096043
40 75.013548 -2.697542 10.047446
41 75.013548 -2.82113 9.737098
42 75.013548 -2.801849 9.741116
43 75.013548 -2.802276 9.739909
44 75.013548 -2.740739 9.809927
45 75.013548 -2.871301 9.613612
46 75.013548 -2.846657 9.616442
47 75.013548 -2.759615 9.650937
48 75.013548 -2.695002 9.720337
49 75.013548 -2.994382 9.322665
50 75.013548 -3.07549 9.138059
51 75.013548 -3.033356 9.209919
52 75.013548 -3.07854 9.138297
53 75.013548 -2.79841 9.516362
54 75.013548 -2.927038 9.371624
55 75.013548 -2.94935 9.367533
56 75.013548 -2.930813 9.373005
57 75.013548 -2.868572 9.445239
58 48.059829 -3.100172 8.635986
59 48.059829 -3.270653 8.303533
60 48.059829 -3.246338 8.30786
61 48.02619 -3.502462 7.737484
62 48.02619 -3.456367 7.730933
63 48.02619 -3.522672 7.638316
64 39.179917 -3.609762 7.461615
65 39.179917 -3.608931 7.461415
66 39.179917 -3.568879 7.621529
67 39.142067 -3.741747 7.207043
68 39.142067 -3.722901 7.21518
69 39.142067 -3.742259 7.207118
70 39.142067 -3.767439 7.041029
71 39.142067 -3.830818 7.017834
72 39.142067 -3.786088 7.114933
73 39.142067 -3.78331 7.114323
74 39.142067 -3.824593 7.016185
75 39.142067 -3.912342 6.899963
76 39.142067 -3.829234 7.254151
77 39.142067 -3.663273 7.641608
78 39.142067 -3.662101 7.641264
79 39.142067 -3.771402 7.53084
80 47.983843 -3.727118 7.842491
81 47.983843 -3.708328 7.848414
82 47.983843 -3.730144 7.985604
83 47.983843 -3.584149 8.288417
84 47.983843 -3.439053 8.528488
85 47.983843 -3.545656 8.2732
86 47.983843 -3.354085 8.61983
87 47.983843 -3.439308 8.372408
88 47.983843 -3.415701 8.377043
89 47.983843 -3.570876 8.121633
90 47.983843 -3.528247 8.157312
91 47.983843 -3.526972 8.156305
92 47.983843 -3.294185 8.449869
93 47.983843 -3.376131 8.34286
94 47.983843 -3.269264 8.592766
95 47.983843 -3.332004 8.509651
96 47.983843 -3.262705 8.597954
97 47.983843 -3.349122 8.509941
98 47.983843 -3.410206 8.424503
99 47.983843 -3.302879 8.584947
