

gen best mean std
0 85.993424 1.440612 14.884285
0 85.993424 1.469029 14.950085
1 85.993424 1.364907 14.82375
2 85.993424 1.318879 14.801089
3 85.993424 1.27381 14.578848
4 88.017915 1.277057 15.101527
5 88.017915 1.188591 14.937476
6 88.017915 0.972119 14.770509
7 88.017915 1.146803 14.98477
8 91.529262 1.459546 15.637778
9 91.529262 1.407786 15.651119
10 91.529262 1.401887 15.594975
11 91.529262 1.550102 15.616445
12 91.529262 1.610544 15.638756
13 91.529262 1.667454 15.762792
14 91.529262 1.775449 15.672784
15 91.529262 1.844447 15.837313
16 91.529262 1.435086 15.607683
17 91.529262 1.494217 15.725868
18 91.529262 1.476046 15.602446
19 91.529262 1.720229 15.685331
20 91.529262 1.589332 15.593929
21 91.529262 1.86957 15.935052
22 91.529262 1.903093 16.156079
23 91.529262 1.879994 16.373694
24 91.529262 2.02334 16.645603
25 91.529262 2.084415 16.741525
26 91.529262 2.194314 16.769674
27 91.529262 2.067777 16.681612
28 91.529262 2.303211 16.847642
29 91.529262 2.180663 16.734928
30 91.529262 2.303626 16.764963
31 91.529262 2.257375 16.774788
32 91.529262 2.139313 16.748781
33 91.529262 1.961298 16.733464
34 91.529262 1.853656 16.239849
35 91.529262 1.597995 15.823255
36 91.529262 1.608338 15.772881
37 85.593424 1.290161 15.001284
38 85.593424 1.333536 15.066031
39 85.593424 1.575686 15.111566
40 86.997464 1.74694 15.683627
41 86.997464 1.647146 15.483581
42 86.997464 1.713208 15.521466
43 86.997464 1.532923 15.371788
44 86.997464 1.405916 14.980873
45 86.997464 1.080434 14.329711
46 86.997464 0.945524 14.320942
47 86.997464 1.073027 14.396842
48 86.997464 0.750756 13.634685
49 86.997464 0.575188 13.401233
50 86.997464 0.56892 13.502515
51 86.997464 0.796298 13.927077
52 86.997464 0.827343 13.890353
53 86.997464 0.78579 13.958813
54 86.997464 0.777917 14.037376
55 86.997464 0.851392 14.109863
56 86.997464 1.090611 14.229102
57 86.997464 1.117891 14.005495
58 86.997464 1.1571 13.999818
59 86.997464 1.166587 14.217944
60 86.997464 0.9233 14.15615
61 86.997464 1.049468 14.232077
62 86.997464 1.057373 14.273748
63 86.997464 1.212169 14.419728
64 86.997464 1.166942 14.403842
65 86.997464 1.200853 14.498146
66 86.997464 1.093119 14.391925
67 86.997464 1.190953 14.469605
68 86.997464 1.21097 14.504368
69 86.997464 0.940796 14.382559
70 86.997464 1.006335 14.336904
71 86.997464 1.185031 14.609751
72 86.997464 1.032759 14.51657
73 86.997464 0.811515 14.412315
74 84.613791 0.676829 14.023623
75 84.613791 0.652425 14.024253
76 84.613791 0.788582 14.106614
77 84.613791 0.725535 13.936455
78 84.613791 0.899492 14.172747
79 84.613791 0.941771 14.205476
80 87.193424 1.135617 14.877191
81 87.193424 1.278599 14.934855
82 87.193424 1.360079 14.923964
83 87.193424 1.265623 14.633489
84 87.193424 1.411991 14.873562
85 87.193424 1.323829 14.984153
86 87.193424 1.22496 14.957154
87 87.193424 0.903304 14.472969
88 87.193424 0.841908 14.444693
89 87.793424 1.202653 15.372863
90 87.793424 1.441882 15.922405
91 87.793424 1.151795 15.644429
92 87.793424 1.242309 15.702478
93 87.793424 1.097815 15.565477
94 90.444163 1.542449 16.282676
95 90.444163 1.871975 16.522874
96 90.444163 1.85195 16.497552
97 90.444163 1.777699 16.830544
98 90.444163 2.107875 17.407036
99 90.444163 1.954782 17.335424
