

gen best mean std
0 39.122264 -3.071898 9.023837
0 39.122264 -2.89169 9.324288
1 39.122264 -2.937334 9.174127
2 39.122264 -3.001858 9.098765
3 39.122264 -3.044498 9.109651
4 39.122264 -3.108924 9.032816
5 39.122264 -3.279915 8.71642
6 39.122264 -3.239467 8.872131
7 39.031292 -3.26098 8.821106
8 39.031292 -3.325399 8.654708
9 39.031292 -3.346283 8.648524
10 39.031292 -3.496521 8.49913
11 39.031292 -3.64412 8.018557
12 39.031292 -3.685066 7.964536
13 39.031292 -3.634316 8.003362
14 39.031292 -3.591898 8.088186
15 39.031292 -3.48693 8.212357
16 39.031292 -3.464227 8.217816
17 39.031292 -3.505197 8.205892
18 39.031292 -3.615433 7.990514
19 39.031292 -3.571586 8.074975
20 39.031292 -3.614478 7.990275
21 39.031292 -3.485419 8.260226
22 39.031292 -3.442453 8.294147
23 39.031292 -3.441463 8.293921
24 39.031292 -3.441255 8.293901
25 39.013548 -3.465744 8.28727
26 39.013548 -3.44123 8.29378
27 39.013548 -3.568426 8.116659
28 57.116678 -3.527774 8.386829
29 57.116678 -3.528266 8.38697
30 57.116678 -3.530286 8.384084
31 57.116678 -3.572143 8.349066
32 57.116678 -3.721702 7.859418
33 57.116678 -3.590783 8.092375
34 57.116678 -3.615956 8.087241
35 57.116678 -3.487534 8.468765
36 57.116678 -3.551242 8.388007
37 57.116678 -3.571461 8.3819
38 57.116678 -3.464114 8.500609
39 57.116678 -3.465083 8.500768
40 57.116678 -3.458588 8.521088
41 57.116678 -3.482563 8.493516
42 57.116678 -3.547848 8.450623
43 57.116678 -3.44586 8.703063
44 57.116678 -3.44572 8.698124
45 57.116678 -3.274148 8.868713
46 57.116678 -3.231605 8.878442
47 57.116678 -3.25641 8.85505
48 57.116678 -3.146712 9.090119
49 57.116678 -3.144645 9.089603
50 57.116678 -3.273919 8.849515
51 57.116678 -3.183254 9.081225
52 57.116678 -3.230771 9.008918
53 57.116678 -3.142566 9.236465
54 57.116678 -3.185661 9.206841
55 57.116678 -3.291441 9.036697
56 57.116678 -3.245513 9.066837
57 57.116678 -3.288973 8.80178
58 39.179917 -3.394822 8.33042
59 39.179917 -3.394294 8.330306
60 39.179917 -3.331729 8.416265
61 39.179917 -3.438074 8.159072
62 39.179917 -3.437094 8.158813
63 39.179917 -3.329556 8.280411
64 39.179917 -3.220236 8.398232
65 39.179917 -3.133709 8.419594
66 39.179917 -3.156807 8.41444
67 39.179917 -3.007577 8.58307
68 39.179917 -3.049413 8.573935
69 39.179917 -3.070437 8.569845
70 39.179917 -3.091883 8.519795
71 39.179917 -3.176776 8.432252
72 39.179917 -3.414297 8.049198
73 48.013548 -3.348767 8.344157
74 48.013548 -3.37411 8.300882
75 48.013548 -3.417591 8.219563
76 48.013548 -3.330592 8.311387
77 48.013548 -3.334679 8.312177
78 48.013548 -3.314395 8.224319
79 48.013548 -3.378862 8.163304
80 48.013548 -3.398596 8.158923
81 48.013548 -3.441064 7.976483
82 48.013548 -3.380313 8.067059
83 48.013548 -3.469294 7.972561
84 48.013548 -3.404574 8.062287
85 48.013548 -3.359954 8.144636
86 48.013548 -3.361733 8.073472
87 48.013548 -3.319254 7.941509
88 48.013548 -3.29864 8.016433
89 48.013548 -3.256939 8.027447
90 48.013548 -3.361598 7.90196
91 48.013548 -3.232475 8.074461
92 48.013548 -3.300092 8.031943
93 48.059829 -3.255674 8.345497
94 48.059829 -3.149241 8.703096
95 48.059829 -3.151012 8.703652
96 48.059829 -3.064399 8.919507
97 48.059829 -3.108982 8.845814
98 48.059829 -3.107295 8.845345
99 48.059829 -3.151691 8.815925
