

gen best mean std
0 48.059829 -2.499183 10.665989
0 48.059829 -2.597741 10.470063
1 48.059829 -2.552476 10.474584
2 48.059829 -2.574109 10.400606
3 48.059829 -2.556728 10.477799
4 48.059829 -2.490441 10.501608
5 48.059829 -2.618971 10.304342
6 48.059829 -2.640503 10.301596
7 48.059829 -2.553531 10.36833
8 48.059829 -2.599361 10.30664
9 57.241098 -2.341411 10.757303
10 57.241098 -2.274727 10.784458
11 57.241098 -2.358665 10.59824
12 57.241098 -2.382898 10.596714
13 57.241098 -2.318246 10.655609
14 57.241098 -2.554543 10.170893
15 57.241098 -2.447901 10.240346
