

gen best mean std
0 93.33194 11.017524 31.920778
0 93.33194 11.337016 32.237784
1 93.33194 11.641915 32.504992
2 93.33194 11.574944 32.513652
3 93.33194 11.407882 32.258112
4 93.33194 11.321924 32.132416
5 93.33194 11.222082 32.094212
6 93.33194 11.582425 32.359268
7 93.33194 11.339359 32.078773
8 93.33194 11.213008 31.845315
9 93.33194 11.370942 31.812503
10 93.33194 11.148511 31.609166
11 93.33194 11.477965 31.98764
12 93.33194 11.943777 32.262899
13 93.33194 11.732787 32.140177
14 93.33194 12.163614 32.589957
15 93.33194 12.357574 32.647016
16 92.64704 12.759162 32.668934
17 92.64704 12.325494 32.422765
18 92.64704 12.391928 32.380853
19 92.64704 12.407715 32.352501
20 92.64704 12.805714 32.538407
21 92.64704 13.106338 32.707512
22 92.64704 12.990572 32.565913
23 92.64704 12.758971 32.623884
24 92.64704 12.213434 32.2911
25 92.64704 12.494219 32.518642
26 92.64704 12.045848 32.355007
27 92.64704 12.196019 32.592169
28 92.64704 12.244241 32.373112
29 92.64704 11.676416 32.107798
30 92.64704 11.559077 32.225614
31 92.64704 11.228489 31.816634
32 92.64704 10.972389 31.680023
33 92.64704 10.856418 31.5462
34 92.64704 10.886291 31.661451
35 92.64704 10.642128 31.426424
36 92.64704 10.611843 31.243784
37 92.64704 10.427212 31.052686
38 92.64704 11.371512 31.804354
39 92.64704 10.897409 31.401508
40 92.64704 10.845542 31.327391
41 92.64704 10.914187 31.60247
42 92.64704 9.951251 30.777483
43 92.64704 9.726979 30.587586
44 92.64704 9.866304 30.771038
45 92.64704 10.211814 31.081081
46 92.64704 10.671193 31.518436
47 92.64704 10.664985 31.511477
48 92.64704 9.955613 30.761253
49 92.64704 10.304833 30.925712
50 92.64704 10.870741 31.213898
51 92.64704 10.627502 31.07773
52 92.64704 10.729312 31.025909
53 92.64704 10.856495 31.075484
54 92.64704 11.383824 31.40163
55 92.64704 11.581799 31.505587
56 92.64704 11.169486 31.238487
57 92.64704 11.314538 31.383616
58 92.64704 11.167311 31.313307
59 92.64704 11.222975 31.241383
60 92.64704 10.8978 30.973665
61 92.64704 11.268686 31.271425
62 92.64704 11.929653 31.904142
63 92.64704 12.223535 32.18165
64 92.64704 12.067841 32.119766
65 92.64704 12.129121 31.94954
66 92.64704 11.745307 31.748556
67 92.64704 11.451745 31.655972
68 92.64704 11.537945 31.731381
69 92.64704 11.020498 31.446262
70 92.64704 10.988312 31.373146
71 92.64704 11.150652 31.22409
72 92.64704 11.040265 31.052905
73 92.64704 11.305354 31.462312
74 92.64704 11.090159 31.382312
75 92.64704 11.069246 31.416736
76 92.64704 11.716882 32.027129
77 92.64704 11.908489 32.093277
78 92.64704 11.827525 31.907143
79 92.64704 11.870957 31.998554
80 92.64704 11.051759 31.451548
81 92.64704 10.704525 31.1966
82 92.64704 10.986867 31.490109
83 92.64704 10.435859 31.097068
84 92.64704 10.275114 30.857871
85 92.64704 10.181196 30.93446
86 92.64704 9.973696 30.687824
87 92.64704 10.512947 31.357379
88 92.64704 10.567244 31.542901
89 92.64704 10.358289 31.242629
90 92.64704 10.711793 31.614065
91 92.64704 11.153261 31.926095
92 92.64704 11.139244 31.952213
93 92.64704 10.919666 31.687606
94 92.64704 10.817207 31.629085
95 92.64704 11.447453 32.135302
96 92.64704 11.629439 32.127296
97 92.64704 11.919122 32.399065
98 92.64704 11.737981 32.244145
99 92.64704 12.035453 32.417596
