

gen best mean std
0 87.618586 0.693566 13.85268
0 87.618586 0.900614 13.987592
1 87.618586 0.876418 13.950951
2 87.618586 0.856669 13.93827
3 87.618586 0.727017 13.549116
4 87.618586 0.550264 13.448735
5 87.618586 0.523458 13.420059
6 87.618586 0.631248 13.583698
7 87.618586 0.820717 13.692249
8 87.618586 0.816482 13.8427
9 87.618586 0.63517 13.581634
10 87.618586 0.528544 13.383045
11 87.618586 0.520263 13.375384
12 87.618586 0.76079 13.452537
13 87.618586 0.875621 13.686579
14 87.618586 0.8326 13.645206
15 87.618586 1.011019 13.714501
16 87.618586 1.137039 14.002131
17 87.618586 1.052526 13.996797
18 87.618586 0.583263 13.497583
19 87.618586 0.739183 13.57604
20 87.618586 0.612916 13.449477
21 87.618586 0.591589 13.562618
22 87.618586 1.179665 14.342358
23 87.618586 1.223672 14.413507
24 87.618586 1.069921 14.270192
25 87.618586 1.040768 14.054784
26 87.618586 1.007496 13.945211
27 87.618586 1.183767 14.001759
28 87.618586 1.139009 14.010248
29 87.618586 0.853618 13.472978
30 87.618586 1.050638 13.663006
31 87.618586 0.978268 13.42935
32 87.618586 1.122571 13.728979
33 87.618586 1.00796 13.707441
34 87.618586 1.266265 13.881942
35 87.618586 1.127621 13.812949
36 87.618586 1.165551 13.891021
37 87.618586 1.01901 13.854828
38 87.618586 0.986871 13.863908
39 87.618586 0.571864 13.297779
40 87.618586 0.71074 13.580163
41 87.618586 0.541394 13.463066
42 87.618586 0.323547 13.177977
43 87.618586 0.133718 12.926367
44 87.618586 0.192494 13.13085
45 87.618586 0.429147 13.400641
46 87.618586 0.343707 13.291588
47 87.618586 0.530232 13.616764
48 87.618586 0.678394 13.93419
49 87.618586 0.410547 13.588631
50 87.618586 0.572572 13.833103
51 87.618586 0.677488 13.815424
52 87.618586 0.864005 14.287398
53 87.618586 0.963935 14.589747
54 87.618586 0.950378 14.584059
55 87.618586 1.036069 14.66287
56 87.618586 1.145033 14.736293
57 87.618586 0.908722 14.399969
58 87.618586 1.136577 15.029819
59 87.618586 1.528354 15.313483
60 87.618586 1.310576 15.123606
61 87.618586 1.08811 15.06881
62 87.618586 1.25156 15.320538
63 87.618586 1.355604 15.576363
64 87.618586 1.185803 15.484333
65 87.618586 1.015299 15.310051
66 87.618586 1.194696 15.78098
67 87.618586 1.329737 15.824129
68 87.618586 1.136848 15.446603
69 87.618586 1.348749 15.572042
70 87.618586 1.090852 15.241562
71 88.883798 1.334671 15.65302
72 88.883798 1.367753 15.646992
73 88.883798 1.450743 15.681614
74 88.883798 1.225391 15.404093
75 88.883798 1.213044 15.346169
76 88.883798 1.156811 15.176288
77 88.883798 0.957276 15.049554
78 88.883798 0.830058 14.650713
79 88.883798 0.743861 14.623016
80 88.883798 0.6863 14.241726
81 88.883798 0.341013 13.80421
82 88.883798 0.282373 13.750741
83 88.883798 0.284172 13.970708
84 88.883798 0.069468 13.329892
85 88.883798 0.113501 13.387556
86 88.883798 0.195658 13.42038
87 88.883798 0.242798 13.424623
88 87.618586 0.122368 12.955798
89 87.618586 0.21441 13.068551
90 87.618586 0.248911 13.066633
91 87.618586 0.356152 13.183992
92 87.618586 0.156244 13.072452
93 87.618586 0.282186 13.158081
94 87.618586 0.416426 13.200749
95 87.618586 0.315457 13.201491
96 87.618586 0.10306 12.878835
97 87.618586 0.12929 13.035458
98 87.618586 0.322504 13.188978
99 87.618586 0.266068 12.861224
