

gen best mean std
0 48.013548 -2.855849 9.189155
0 48.013548 -2.679491 9.658548
1 48.013548 -2.868951 9.246685
2 48.013548 -2.868289 9.247183
3 48.013548 -2.567362 9.79417
4 48.013548 -2.588808 9.652226
5 48.013548 -2.911073 9.153084
6 48.013548 -2.785634 9.401996
7 48.013548 -2.827855 9.37446
8 48.013548 -3.039486 8.918471
9 48.013548 -2.94284 8.999381
10 48.013548 -2.943898 8.999757
11 48.013548 -2.942209 8.99962
12 48.013548 -2.813187 9.231169
13 48.013548 -2.966231 9.078653
14 48.013548 -2.94612 9.104265
15 48.013548 -2.902565 9.110584
16 48.013548 -2.837198 9.14297
17 48.013548 -2.751363 9.22044
18 48.013548 -3.028525 8.833414
19 48.013548 -3.048447 8.762555
20 48.013548 -2.941504 8.997993
21 48.013548 -2.986898 8.990645
22 48.013548 -2.984358 8.989883
23 48.013548 -3.001692 8.837158
24 48.013548 -2.958414 8.866907
25 48.013548 -2.998919 8.839002
26 48.013548 -2.955472 8.849299
27 48.013548 -3.150367 8.612931
28 48.013548 -3.082651 8.692747
29 48.013548 -3.148384 8.612253
30 48.023649 -3.062 8.891125
31 48.023649 -3.126013 8.857317
32 57.194865 -3.189879 8.718258
33 48.013548 -3.298236 8.375585
34 48.013548 -3.278331 8.379708
35 48.013548 -3.427398 8.112003
36 48.013548 -3.359645 8.289796
37 48.013548 -3.425843 8.112314
38 48.013548 -3.423726 8.111703
39 48.013548 -3.444815 8.034069
40 48.013548 -3.335949 8.319997
41 48.013548 -3.430921 8.227081
42 48.013548 -3.242407 8.722611
43 48.013548 -3.371597 8.399076
44 48.013548 -3.413356 8.340636
45 48.013548 -3.431356 8.173631
46 48.013548 -3.495912 8.084914
47 48.013548 -3.199448 8.74356
48 48.013548 -3.21623 8.737443
49 48.013548 -3.473161 8.201747
50 48.013548 -3.621897 7.922741
51 48.013548 -3.623794 7.923084
52 48.013548 -3.626937 7.923907
53 48.013548 -3.498807 8.105011
54 48.013548 -3.328887 8.450279
55 48.013548 -3.45912 8.116144
56 57.018586 -3.245912 8.670378
57 57.018586 -3.311508 8.655782
58 57.018586 -3.333564 8.447604
59 57.018586 -3.266436 8.488059
60 57.018586 -3.266853 8.535728
61 57.018586 -3.180593 8.645154
62 57.018586 -3.181313 8.645419
63 57.018586 -3.332116 8.475069
64 57.018586 -3.292237 8.508998
65 57.018586 -3.24817 8.631497
66 57.018586 -3.332369 8.475167
67 57.018586 -3.166519 8.797225
68 57.018586 -3.129912 8.954712
69 57.018586 -3.106126 8.958388
70 57.018586 -2.951416 9.345034
71 57.018586 -2.996722 9.338071
72 57.018586 -2.954027 9.407106
73 57.018586 -3.000672 9.356445
74 57.018586 -3.090429 9.134576
75 57.018586 -3.067944 9.15969
76 57.018586 -3.070072 9.160232
77 57.018586 -3.265518 8.785071
78 57.018586 -3.117016 9.141007
79 57.018586 -3.181766 8.848636
80 57.018586 -3.158493 8.878713
81 57.018586 -3.093601 8.956952
82 57.018586 -3.136889 8.922236
83 57.018586 -3.222206 8.694012
84 57.018586 -3.263973 8.617617
85 88.644258 -3.039043 9.711206
86 88.644258 -3.18725 9.415483
87 88.644258 -3.145802 9.485982
88 88.644258 -3.273951 9.068578
89 88.644258 -3.363438 8.87769
90 88.644258 -3.301508 9.14763
91 88.644258 -3.152575 9.509142
92 88.644258 -3.217104 9.413587
93 88.644258 -3.237751 9.408989
94 88.644258 -3.232142 9.407641
95 88.644258 -3.105013 9.633661
96 88.644258 -3.212068 9.412311
97 88.644258 -3.212001 9.412294
98 88.644258 -3.318834 9.186833
99 88.644258 -3.313442 9.185362
