

gen best mean std
0 93.409567 10.145532 31.149686
0 93.409567 10.181711 31.17955
1 93.409567 10.377953 31.142621
2 93.409567 10.550111 31.244653
3 93.409567 10.12328 30.591626
4 93.409567 10.495689 30.851535
5 93.409567 10.645147 30.887867
6 93.409567 10.336223 30.594389
7 93.409567 10.31566 30.483657
8 93.409567 9.92623 30.234416
9 93.409567 9.775545 29.984436
10 93.409567 9.964222 29.936771
11 93.409567 9.832586 29.582693
12 93.409567 9.777266 29.608709
13 93.409567 9.97274 29.608014
14 93.409567 10.102843 29.819806
15 93.409567 9.74107 29.551644
16 93.409567 10.855153 30.45171
17 93.409567 10.563621 30.347164
18 93.409567 10.734253 30.506297
19 93.409567 10.412749 30.234787
20 93.409567 11.085867 30.671116
21 93.409567 11.420253 30.889335
22 93.409567 11.896877 31.285484
23 93.409567 11.607786 31.141613
24 93.409567 11.587995 31.185447
25 93.409567 11.267667 31.026815
26 93.409567 11.067774 30.759473
27 93.409567 11.505807 31.176457
28 93.409567 11.500999 31.385206
29 93.409567 11.857524 31.67167
30 93.409567 11.91956 31.692747
31 93.409567 12.03042 31.888596
32 93.409567 12.204886 31.963627
33 93.409567 12.97869 32.609403
34 93.409567 13.180178 32.877806
35 93.409567 13.481968 33.111241
36 93.409567 12.891591 32.656411
37 93.409567 12.453099 32.384386
38 93.409567 12.473845 32.414383
39 93.409567 12.899558 32.679974
40 93.409567 13.119299 32.818951
41 93.409567 13.903237 33.305538
42 93.409567 13.327372 32.950714
43 93.409567 13.007927 32.850068
44 93.494055 12.913064 32.736928
45 93.494055 12.619249 32.600609
46 93.494055 12.712486 32.552352
47 93.494055 11.84006 32.067552
48 93.494055 11.670868 31.831599
49 93.494055 11.451169 31.52763
50 93.494055 11.049867 31.148256
51 93.494055 11.080609 31.028492
52 93.494055 10.897836 31.02879
53 93.494055 10.654364 30.725337
54 93.494055 10.123024 30.088198
55 93.494055 9.795964 29.883287
56 93.494055 10.071642 30.096032
57 93.494055 9.721497 29.708009
58 93.409567 9.169423 28.941963
59 93.409567 9.123466 28.911156
60 93.409567 8.67403 28.468539
61 93.409567 8.670577 28.386257
62 93.409567 8.684044 28.421839
63 93.409567 8.699723 28.583372
64 93.409567 8.589725 28.638337
65 93.409567 8.548059 28.625641
66 93.409567 8.707873 28.784392
67 93.409567 8.427104 28.679345
68 93.409567 8.640393 28.726394
69 93.409567 8.819075 29.008048
70 93.409567 9.14636 29.388669
71 93.409567 9.111754 29.419542
72 93.409567 8.9705 29.178368
73 93.409567 8.974996 29.256497
74 93.409567 9.112414 29.504817
75 93.409567 9.917665 30.254252
76 93.409567 9.999967 30.458696
77 93.409567 9.854529 30.443225
78 93.409567 10.116666 30.535562
79 93.409567 10.307734 30.634085
80 93.409567 10.969161 31.247697
81 93.409567 11.221381 31.396447
82 93.409567 11.371598 31.428813
83 93.409567 11.897754 32.077634
84 93.409567 11.644014 31.83883
85 93.409567 11.98085 31.983941
86 93.409567 12.06143 32.00991
87 93.409567 12.450225 32.284109
88 93.409567 12.467396 32.174981
89 93.409567 13.367955 32.823556
90 93.409567 13.681185 33.315525
91 93.409567 13.647298 33.445328
92 93.409567 13.59549 33.292871
93 93.409567 13.77613 33.367893
94 93.409567 13.490481 33.256766
95 93.409567 12.256679 32.360159
96 93.409567 12.074138 32.206947
97 93.409567 11.932895 31.962995
98 93.409567 12.728772 32.511904
99 93.409567 12.8591 32.527633
