

gen best mean std
0 93.002788 10.999978 31.457786

gen best mean std
0 93.207043 10.423201 30.735062
0 93.207043 10.46984 30.946867
1 93.207043 10.466495 30.937665
2 93.207043 10.430221 31.091453
3 93.207043 11.066059 31.525921
4 93.207043 10.509775 30.93241
5 93.207043 10.43545 31.005813
6 93.207043 10.835494 31.359573
7 93.207043 10.379631 30.89502
8 93.207043 10.441723 30.700622
9 93.207043 10.153879 30.466278
10 93.207043 10.051318 30.601414
11 93.207043 10.816326 31.400654
12 93.207043 10.882787 31.569571
13 93.207043 10.504782 31.084747
14 93.207043 10.763392 31.392199
15 93.207043 11.224304 31.603874
16 93.207043 11.374989 31.739498
17 93.207043 11.415091 31.698633
18 93.207043 11.146496 31.355194
19 93.207043 11.340406 31.367061
20 93.207043 11.209803 31.28677
21 93.207043 11.680768 31.604531
22 93.409567 11.426967 31.336056
23 93.409567 11.645264 31.422804
24 93.409567 11.559637 31.376245
25 93.409567 11.285138 31.145539
26 93.409567 11.040072 31.185297
27 93.409567 11.140768 31.136361
28 93.409567 11.295671 31.259273
29 93.409567 11.317153 31.439838
30 93.409567 11.587925 31.65501
31 93.409567 11.188534 31.301723
32 93.409567 11.275983 31.446128
33 93.409567 11.61165 31.726623
34 93.409567 11.02826 31.121318
35 93.409567 10.766283 30.927004
36 93.409567 10.966943 31.112556
37 93.409567 10.85456 31.094981
38 93.409567 10.820797 31.021582
39 93.409567 10.331199 30.513752
40 93.409567 10.042551 30.177387
41 93.409567 9.74043 29.842174
42 93.409567 9.287615 29.712884
43 93.409567 9.960636 30.174563
44 93.409567 10.189681 30.571085
45 93.409567 10.635875 31.01111
46 93.409567 10.803083 31.018364
47 93.409567 10.581875 30.847934
48 93.409567 9.85284 30.236192
49 93.409567 9.547635 30.028876
50 93.409567 9.310195 29.918852
51 93.207043 8.970979 29.627564
52 93.207043 8.669401 29.354763
53 93.207043 8.843486 29.283957
54 93.207043 8.944858 29.435216
55 93.207043 9.02811 29.53531
56 93.207043 9.037321 29.495751
57 93.207043 8.944184 29.3595
58 93.207043 9.058967 29.551802
59 93.207043 8.788202 29.124094
60 93.207043 9.416115 29.682015
61 93.207043 9.650067 29.758157
62 93.207043 10.018816 30.281908
63 93.207043 10.392229 30.536846
64 93.207043 9.776405 30.094674
65 93.207043 9.887634 30.177105
66 93.207043 10.082221 30.312367
67 93.207043 10.146427 30.219359
68 93.207043 10.241385 30.487196
69 93.207043 10.121038 30.281396
70 93.207043 10.122771 30.332006
71 93.207043 10.348193 30.573577
72 93.207043 10.220573 30.426257
73 93.207043 9.760543 30.017919
74 93.207043 9.908156 30.315791
75 93.207043 9.981668 30.465595
76 93.207043 9.801715 30.279532
77 93.207043 9.879069 30.259506
78 93.207043 9.542891 30.057911
79 93.207043 9.478992 29.844509
80 93.207043 9.835931 30.165595
81 93.207043 9.927756 30.083035
82 93.207043 10.718659 30.618233
83 93.207043 10.795322 30.697832
84 93.207043 11.230089 31.057448
85 93.207043 11.664414 31.406703
86 93.207043 11.456946 31.213632
87 93.207043 10.914822 30.787984
88 93.207043 11.449683 31.07931
89 93.207043 11.224835 30.639414
90 93.207043 11.200704 30.44526
91 93.207043 11.295682 30.542422
92 93.207043 11.057044 30.492482
93 93.207043 10.42278 29.755283
94 93.207043 9.994201 29.380635
95 93.207043 10.217848 29.644639
96 93.207043 10.286978 29.81661
97 93.207043 10.435952 30.042172
98 93.207043 10.495521 30.227016
99 93.207043 10.307257 30.189985
