

gen best mean std
0 75.013548 -2.971911 9.612247
0 75.013548 -2.836277 9.827577
1 75.013548 -2.811735 9.829882
2 75.013548 -2.811117 9.829762
3 75.013548 -2.854821 9.803376
4 75.013548 -2.875893 9.741636
5 75.013548 -3.005538 9.599602
6 75.013548 -3.07046 9.387149
7 75.013548 -3.242782 9.081184
8 75.013548 -3.157625 9.161794
9 75.013548 -2.899859 9.557899
10 75.013548 -2.853657 9.702595
11 75.013548 -2.829974 9.702175
12 75.013548 -2.831577 9.702653
13 75.013548 -2.875343 9.695899
14 75.013548 -2.661869 10.015631
15 75.013548 -2.747 9.810976
16 75.013548 -2.83083 9.678336
17 75.013548 -2.745852 9.82896
18 75.013548 -2.850261 9.615383
19 75.013548 -2.868012 9.474123
20 75.013548 -2.850067 9.616175
21 75.013548 -2.723213 9.871684
22 39.179917 -2.758162 9.328976
23 39.179917 -2.75757 9.328885
24 39.179917 -2.762457 9.326599
25 39.179917 -2.589782 9.614135
26 39.179917 -2.674536 9.401102
27 39.179917 -2.804589 9.176034
28 39.179917 -2.718131 9.434778
29 39.179917 -2.654758 9.506067
30 39.179917 -2.677001 9.441878
31 39.179917 -2.699009 9.438904
32 39.179917 -2.571359 9.579687
33 39.179917 -2.696393 9.279035
34 39.179917 -2.656533 9.286277
35 39.179917 -2.894557 8.910827
36 39.179917 -2.893776 8.916829
37 39.179917 -3.066382 8.599842
38 48.023649 -3.022478 8.811024
39 48.023649 -3.020684 8.810514
40 48.023649 -3.128846 8.722509
41 48.023649 -3.193102 8.554979
42 48.023649 -3.174498 8.56073
43 48.023649 -3.369809 8.286188
44 48.023649 -3.432591 8.106088
45 66.176954 -3.326099 8.705296
46 66.176954 -3.262732 8.786837
47 66.176954 -3.370846 8.541724
48 66.176954 -3.351649 8.547283
49 66.176954 -3.286766 8.58388
50 66.176954 -3.264363 8.678966
51 66.176954 -3.308024 8.60203
52 66.176954 -3.220877 8.688565
53 66.176954 -3.222783 8.686603
54 66.176954 -3.287913 8.604873
55 66.176954 -3.352295 8.522116
56 66.176954 -3.394402 8.373853
57 66.176954 -3.49864 8.114264
58 66.176954 -3.586356 8.018696
59 66.176954 -3.670927 7.920443
60 66.176954 -3.562769 8.29771
61 66.176954 -3.393625 8.636678
62 66.176954 -3.286682 8.879845
63 66.176954 -3.262955 8.884077
64 66.176954 -3.239684 8.888228
65 66.176954 -3.390133 8.635748
66 66.176954 -3.495554 8.471719
67 66.176954 -3.454285 8.63792
68 66.176954 -3.433637 8.710724
69 66.176954 -3.264404 8.905562
70 66.176954 -3.286025 8.900805
71 86.099556 -3.191774 9.46283
72 86.099556 -3.297645 9.131501
73 86.099556 -3.169217 9.465774
74 86.099556 -3.04275 9.572542
75 86.099556 -2.916085 9.866679
76 86.099556 -2.917402 9.981088
77 86.099556 -2.787547 10.173472
78 86.099556 -2.853253 10.107037
79 86.099556 -2.831707 10.110509
80 86.099556 -2.806182 10.114472
81 86.099556 -2.781689 10.11685
82 86.099556 -2.738117 10.123005
83 86.099556 -2.763112 10.119171
84 86.099556 -2.719316 10.182352
85 86.099556 -2.809127 10.11384
86 86.099556 -2.747339 10.143087
87 86.099556 -2.663249 10.212711
88 94.900134 -2.572239 11.059413
89 94.900134 -2.67593 10.992662
90 86.099556 -3.007711 9.834092
91 86.099556 -2.878654 9.972992
92 86.099556 -2.834274 10.037389
93 86.099556 -2.940146 9.735317
94 86.099556 -3.048386 9.518531
95 86.099556 -3.005641 9.525982
96 86.099556 -2.921032 9.6022
97 86.099556 -2.754885 9.961432
98 86.099556 -2.692579 10.160639
99 86.099556 -2.391894 10.748622
